donor_id,donor_name,donor_type,city,state,email,phone,acquisition_date,acquisition_channel,age_group,gender,occupation,wealth_score,engagement_score,is_major_donor,is_recurring,communication_preference,opted_out
D00014,Ava Harris,Individual,Melbourne,VIC,donor14@email.com,0482374753,2020-08-31,Online,18-25,Male,Technology,45.9,78.4,0,0,Any,0
D00015,Jackson Foundation,Foundation,Darwin,NT,donor15@email.com,0472682989,2021-11-05,Online,N/A,N/A,N/A,30.9,61.0,0,1,Email,0
D00016,Riley Ortiz,Individual,Sydney,NSW,donor16@email.com,0472092888,2021-04-04,Online,18-25,Female,Healthcare,58.1,62.3,0,0,Email,0
D00017,Zoe Cooper,Individual,Sydney,NSW,donor17@email.com,0417869910,2021-05-12,Online,18-25,Male,Healthcare,10.3,55.8,0,0,Email,1
D00018,Cairns City Council,Government,Cairns,QLD,donor18@email.com,0484593961,2020-10-19,Social Media,N/A,N/A,N/A,5.5,79.2,0,1,Any,0
D00019,Ava Turner,Individual,Perth,WA,donor19@email.com,0481286543,2021-08-21,Online,65+,Male,Technology,5.6,58.2,0,0,Email,0
D00020,Sebastian Flores,Individual,Ballarat,VIC,donor20@email.com,0485863473,2021-09-26,Recurring,18-25,Female,Other,75.5,68.0,0,0,Mail,0
D00021,Anthony Wilson,Individual,Fremantle,WA,donor21@email.com,0493370583,2022-02-08,Direct Mail,65+,Non-binary,Government,52.5,48.7,0,1,Email,0
D00022,Logan Ramos,Individual,Brisbane,QLD,donor22@email.com,0450603163,2020-06-10,Event,36-45,Male,Healthcare,26.8,61.9,0,0,Email,0
D00023,Charlotte Reed Estate,Bequest,Perth,WA,donor23@email.com,0430863865,2020-04-28,Online,N/A,N/A,N/A,75.3,23.7,0,0,Phone,0
D00024,Peterson Holdings,Corporate,Brisbane,QLD,donor24@email.com,0422388090,2020-09-14,Corporate,N/A,N/A,N/A,82.0,22.9,1,0,Mail,0
D00025,Cruz Holdings,Corporate,Fremantle,WA,donor25@email.com,0411297845,2021-03-28,Online,N/A,N/A,N/A,30.0,41.6,0,0,Phone,0
D00026,Jacob Adams,Individual,Adelaide,SA,donor26@email.com,0458024342,2022-03-26,Event,26-35,Male,Education,55.6,48.8,0,0,Phone,0
D00027,Reed Services,Corporate,Adelaide,SA,donor27@email.com,0431810617,2022-02-06,Peer-to-Peer,N/A,N/A,N/A,76.0,97.6,0,1,Phone,0
D00028,Owen Gutierrez,Individual,Melbourne,VIC,donor28@email.com,0473174945,2021-12-19,Online,46-55,Female,Education,81.6,81.9,1,0,Any,0
D00029,Daniel Flores,Individual,Gold Coast,QLD,donor29@email.com,0481969657,2020-10-12,Peer-to-Peer,36-45,Non-binary,Business Owner,35.8,74.0,0,0,Email,0
D00030,Scarlett Williams,Individual,Cairns,QLD,donor30@email.com,0425521714,2020-11-17,Telephone,18-25,Prefer not to say,Technology,1.0,78.0,0,0,Phone,0
D00031,Ryan Reyes,Individual,Canberra,ACT,donor31@email.com,0499038359,2021-11-11,Corporate,65+,Female,Technology,74.6,33.3,0,1,Mail,0
D00032,Chloe Phillips,Individual,Canberra,ACT,donor32@email.com,0492613013,2021-01-23,Recurring,26-35,Female,Finance,31.0,1.6,0,0,Any,0
D00033,Henry Adams,Individual,Melbourne,VIC,donor33@email.com,0432775593,2021-11-22,Corporate,56-65,Non-binary,Government,55.1,77.6,0,1,Mail,0
D00034,Sebastian Reyes,Individual,Fremantle,WA,donor34@email.com,0419774839,2020-02-17,Online,36-45,Female,Healthcare,50.7,78.4,0,0,Phone,0
D00035,Ella Taylor,Individual,Mount Gambier,SA,donor35@email.com,0479519112,2020-08-12,Social Media,65+,Male,Business Owner,72.6,100.0,0,0,Phone,0
D00036,Addison Collins,Individual,Sydney,NSW,donor36@email.com,0483534128,2022-01-06,Recurring,56-65,Non-binary,Government,66.4,33.4,0,0,Phone,0
D00037,Ella Cooper,Individual,Darwin,NT,donor37@email.com,0448349783,2020-09-01,Corporate,65+,Non-binary,Arts,48.8,59.9,0,0,Mail,0
D00038,Avery Hill,Individual,Ballarat,VIC,donor38@email.com,0418357162,2021-02-21,Online,65+,Female,Healthcare,39.1,74.5,0,0,Any,0
D00039,Cook Foundation,Foundation,Melbourne,VIC,donor39@email.com,0462343121,2021-05-03,Recurring,N/A,N/A,N/A,68.6,50.9,0,1,Any,0
D00040,Matthew Adams,Individual,Gold Coast,QLD,donor40@email.com,0472732043,2021-11-26,Direct Mail,46-55,Male,Finance,59.6,11.7,0,1,Email,0
D00041,Grayson Wilson,Individual,Melbourne,VIC,donor41@email.com,0460885459,2020-12-01,Direct Mail,46-55,Female,Professional,54.2,71.6,0,0,Any,0
D00042,Zoe Brown,Individual,Ballarat,VIC,donor42@email.com,0443189803,2021-10-29,Social Media,36-45,Female,Business Owner,54.9,51.6,0,0,Email,0
D00043,Mason Evans,Individual,Gold Coast,QLD,donor43@email.com,0425372341,2020-06-20,Social Media,26-35,Prefer not to say,Education,9.5,10.2,0,1,Phone,1
D00044,Victoria Evans,Individual,Sydney,NSW,donor44@email.com,0494187049,2020-07-22,Email,65+,Prefer not to say,Finance,77.2,67.6,0,0,Mail,0
D00045,Evans Pty Ltd,Corporate,Sydney,NSW,donor45@email.com,0496911784,2021-03-14,Direct Mail,N/A,N/A,N/A,46.0,42.0,0,0,Any,0
D00046,Luke Cruz,Individual,Sydney,NSW,donor46@email.com,0482232344,2021-06-18,Online,46-55,Female,Finance,65.5,45.7,0,1,Any,0
D00047,Ella Cooper,Individual,Cairns,QLD,donor47@email.com,0455150390,2021-04-20,Online,18-25,Non-binary,Government,23.1,34.2,0,0,Mail,0
D00048,Scarlett Scott,Individual,Brisbane,QLD,donor48@email.com,0475575808,2020-07-14,Online,36-45,Non-binary,Arts,77.4,70.4,0,0,Phone,0
D00049,Noah Garcia,Individual,Darwin,NT,donor49@email.com,0484285882,2020-11-09,Recurring,36-45,Female,Finance,40.1,29.4,0,0,Any,1
D00050,Levi Young,Individual,Fremantle,WA,donor50@email.com,0434850391,2020-07-16,Online,36-45,Non-binary,Healthcare,36.8,87.8,0,0,Any,0
D00051,Daniel Allen Estate,Bequest,Perth,WA,donor51@email.com,0426989677,2020-07-02,Online,N/A,N/A,N/A,39.9,87.1,0,0,Email,0
D00052,Joshua Miller,Individual,Newcastle,NSW,donor52@email.com,0474119726,2020-12-14,Corporate,18-25,Non-binary,Government,52.6,57.4,0,0,Email,0
D00053,Oliver Taylor,Individual,Ballarat,VIC,donor53@email.com,0490010790,2020-05-01,Peer-to-Peer,26-35,Non-binary,Business Owner,30.6,40.7,0,1,Phone,0
D00054,Julian King,Individual,Mount Gambier,SA,donor54@email.com,0437888820,2020-03-02,Recurring,56-65,Prefer not to say,Education,24.7,23.9,0,0,Mail,0
D00055,Isabella Anderson,Individual,Wollongong,NSW,donor55@email.com,0447945817,2021-04-26,Recurring,18-25,Prefer not to say,Government,46.3,67.5,0,1,Any,0
D00056,Gold Coast City Council,Government,Gold Coast,QLD,donor56@email.com,0436550845,2021-10-02,Social Media,N/A,N/A,N/A,19.5,25.9,0,0,Phone,0
D00057,Jones Foundation,Foundation,Cairns,QLD,donor57@email.com,0486397676,2022-03-22,Online,N/A,N/A,N/A,38.2,88.9,0,1,Any,0
D00058,Young Solutions,Corporate,Perth,WA,donor58@email.com,0467985905,2021-03-24,Recurring,N/A,N/A,N/A,55.0,53.5,0,1,Mail,0
D00059,Noah Cook Estate,Bequest,Gold Coast,QLD,donor59@email.com,0433513701,2020-10-02,Recurring,N/A,N/A,N/A,19.9,30.4,0,0,Any,0
D00060,Hannah Cruz Estate,Bequest,Wollongong,NSW,donor60@email.com,0453091709,2020-04-03,Social Media,N/A,N/A,N/A,29.9,54.8,0,1,Phone,0
D00061,Lily Morgan,Individual,Darwin,NT,donor61@email.com,0464247457,2020-09-15,Online,56-65,Male,Government,26.4,100.0,0,1,Email,0
D00062,Daniel Roberts,Individual,Hobart,TAS,donor62@email.com,0448658617,2020-07-27,Telephone,36-45,Prefer not to say,Government,48.9,63.2,0,0,Any,0
D00063,King Solutions,Corporate,Gold Coast,QLD,donor63@email.com,0425228493,2021-02-21,Online,N/A,N/A,N/A,100.0,93.1,1,0,Email,0
D00064,Chloe Carter,Individual,Newcastle,NSW,donor64@email.com,0461484043,2021-04-28,Social Media,65+,Non-binary,Finance,51.0,81.6,0,0,Phone,0
D00065,Peterson Services,Corporate,Cairns,QLD,donor65@email.com,0447962005,2022-03-17,Direct Mail,N/A,N/A,N/A,13.0,47.7,0,1,Any,0
D00066,Dylan Scott,Individual,Hobart,TAS,donor66@email.com,0486745380,2022-06-09,Email,56-65,Prefer not to say,Government,61.6,85.8,0,0,Any,0
D00067,Ortiz Services,Corporate,Darwin,NT,donor67@email.com,0430415230,2021-11-10,Event,N/A,N/A,N/A,57.6,15.0,0,0,Email,0
D00068,Bailey Foundation,Foundation,Fremantle,WA,donor68@email.com,0429348212,2020-04-12,Social Media,N/A,N/A,N/A,28.2,45.5,0,0,Phone,0
D00069,Anthony Edwards,Individual,Cairns,QLD,donor69@email.com,0475491202,2020-11-20,Event,18-25,Non-binary,Arts,20.8,12.6,0,1,Email,0
D00070,Samuel Harris,Individual,Gold Coast,QLD,donor70@email.com,0469549527,2022-02-17,Peer-to-Peer,65+,Male,Finance,22.9,12.2,0,0,Mail,0
D00071,Ava Allen,Individual,Geelong,VIC,donor71@email.com,0434166826,2021-06-27,Online,36-45,Non-binary,Finance,24.2,69.9,0,0,Email,0
D00072,Sebastian Mitchell,Individual,Mount Gambier,SA,donor72@email.com,0472445234,2020-09-17,Corporate,56-65,Female,Healthcare,21.3,59.3,0,1,Phone,0
D00073,David Cruz Estate,Bequest,Adelaide,SA,donor73@email.com,0436738452,2021-12-07,Peer-to-Peer,N/A,N/A,N/A,50.0,98.3,0,1,Any,0
D00074,Chloe Stewart,Individual,Mount Gambier,SA,donor74@email.com,0416582607,2021-08-02,Direct Mail,36-45,Male,Finance,73.0,17.5,0,1,Any,0
D00075,Harris Solutions,Corporate,Perth,WA,donor75@email.com,0498473848,2020-08-12,Social Media,N/A,N/A,N/A,31.8,23.6,0,1,Phone,0
D00076,Julian Williams,Individual,Geelong,VIC,donor76@email.com,0436950221,2020-10-29,Online,56-65,Non-binary,Retired,40.4,73.0,0,0,Mail,0
D00077,Thompson Foundation,Foundation,Cairns,QLD,donor77@email.com,0455461591,2021-05-08,Email,N/A,N/A,N/A,66.4,45.7,0,1,Any,1
D00078,Harris Enterprises,Corporate,Newcastle,NSW,donor78@email.com,0459093496,2021-02-10,Telephone,N/A,N/A,N/A,85.4,40.8,1,0,Any,0
D00079,Scarlett Turner,Individual,Sydney,NSW,donor79@email.com,0485350823,2021-04-27,Recurring,46-55,Non-binary,Business Owner,91.0,58.1,1,0,Phone,0
D00080,Hobart City Council,Government,Hobart,TAS,donor80@email.com,0414994527,2021-02-22,Direct Mail,N/A,N/A,N/A,54.5,55.1,0,0,Any,0
D00081,Gold Coast City Council,Government,Gold Coast,QLD,donor81@email.com,0482503409,2021-04-09,Online,N/A,N/A,N/A,16.3,94.2,0,0,Phone,0
D00082,Parker Foundation,Foundation,Sydney,NSW,donor82@email.com,0469509870,2020-10-13,Event,N/A,N/A,N/A,68.8,54.9,0,0,Phone,0
D00083,Zoey Gomez Estate,Bequest,Sydney,NSW,donor83@email.com,0435475673,2021-10-22,Email,N/A,N/A,N/A,37.3,69.5,0,1,Any,0
D00084,Noah Brown,Individual,Brisbane,QLD,donor84@email.com,0437804191,2020-07-29,Social Media,36-45,Female,Retired,80.9,67.8,1,0,Phone,0
D00085,Diaz Pty Ltd,Corporate,Newcastle,NSW,donor85@email.com,0433420607,2020-05-28,Direct Mail,N/A,N/A,N/A,74.9,47.6,0,0,Email,0
D00086,Martin Solutions,Corporate,Adelaide,SA,donor86@email.com,0466500369,2020-06-27,Direct Mail,N/A,N/A,N/A,49.0,63.0,0,0,Email,0
D00087,Charlotte Nelson,Individual,Adelaide,SA,donor87@email.com,0450484137,2022-03-13,Online,56-65,Female,Other,74.6,30.1,0,0,Email,0
D00088,Adams Foundation,Foundation,Darwin,NT,donor88@email.com,0420843514,2021-05-17,Recurring,N/A,N/A,N/A,44.9,23.7,0,0,Phone,0
D00089,Penelope Hill,Individual,Cairns,QLD,donor89@email.com,0497874085,2021-03-16,Corporate,56-65,Non-binary,Government,75.3,72.7,0,1,Phone,0
D00090,Levi Flores,Individual,Gold Coast,QLD,donor90@email.com,0473655158,2021-11-12,Event,46-55,Male,Technology,48.5,100.0,0,0,Email,0
D00091,Nguyen Group,Corporate,Sydney,NSW,donor91@email.com,0499927658,2021-08-23,Recurring,N/A,N/A,N/A,74.7,41.4,0,0,Mail,0
D00092,Morales Foundation,Foundation,Canberra,ACT,donor92@email.com,0487566910,2020-10-21,Online,N/A,N/A,N/A,35.0,36.3,0,0,Phone,0
D00093,Torres Foundation,Foundation,Gold Coast,QLD,donor93@email.com,0440354559,2021-01-11,Social Media,N/A,N/A,N/A,62.1,63.3,0,1,Email,0
D00094,Matthew Stewart,Individual,Cairns,QLD,donor94@email.com,0419339597,2022-06-09,Online,36-45,Non-binary,Technology,68.2,78.7,0,0,Email,0
D00095,Levi Scott,Individual,Brisbane,QLD,donor95@email.com,0417061037,2022-03-06,Telephone,26-35,Non-binary,Education,75.1,37.9,0,0,Email,0
D00096,Grayson Mitchell,Individual,Cairns,QLD,donor96@email.com,0424883373,2022-02-12,Direct Mail,56-65,Prefer not to say,Finance,31.7,48.2,0,0,Any,0
D00097,Anthony Diaz,Individual,Perth,WA,donor97@email.com,0448848936,2020-08-04,Direct Mail,18-25,Male,Healthcare,53.7,7.8,0,0,Email,0
D00098,Gabriel Gomez,Individual,Canberra,ACT,donor98@email.com,0415677713,2021-11-15,Recurring,65+,Female,Arts,52.7,40.9,0,0,Any,1
D00099,Lily Morris,Individual,Fremantle,WA,donor99@email.com,0492963368,2020-01-22,Online,65+,Prefer not to say,Education,62.0,46.8,0,0,Mail,0
D00100,Lily Roberts,Individual,Sydney,NSW,donor100@email.com,0478515906,2020-08-14,Telephone,18-25,Prefer not to say,Education,43.9,63.1,0,0,Phone,0
D00101,Jacob Martin,Individual,Adelaide,SA,donor101@email.com,0420113745,2021-09-08,Online,18-25,Female,Education,69.3,84.6,0,0,Any,0
D00102,Reed Solutions,Corporate,Hobart,TAS,donor102@email.com,0452431444,2021-10-01,Recurring,N/A,N/A,N/A,26.4,100.0,0,0,Email,0
D00103,Turner Pty Ltd,Corporate,Perth,WA,donor103@email.com,0417635653,2020-03-16,Event,N/A,N/A,N/A,41.9,75.5,0,0,Mail,0
D00104,Andrew Hill,Individual,Ballarat,VIC,donor104@email.com,0473837847,2021-08-08,Email,46-55,Male,Government,39.8,32.0,0,0,Email,0
D00105,Ethan Carter Estate,Bequest,Fremantle,WA,donor105@email.com,0468978194,2020-02-10,Recurring,N/A,N/A,N/A,50.3,76.8,0,0,Phone,0
D00106,Riley Reyes,Individual,Perth,WA,donor106@email.com,0443822301,2020-04-06,Online,56-65,Male,Technology,31.5,41.2,0,1,Phone,0
D00107,Newcastle City Council,Government,Newcastle,NSW,donor107@email.com,0489865081,2021-11-02,Direct Mail,N/A,N/A,N/A,43.7,26.4,0,1,Email,0
D00108,Owen Morgan,Individual,Mount Gambier,SA,donor108@email.com,0438748452,2020-01-19,Corporate,26-35,Male,Finance,41.8,62.0,0,0,Any,0
D00109,Chloe Peterson,Individual,Newcastle,NSW,donor109@email.com,0431776452,2021-09-24,Email,18-25,Male,Technology,63.2,67.8,0,0,Phone,0
D00110,Sebastian Nelson,Individual,Geelong,VIC,donor110@email.com,0472950208,2020-09-01,Online,56-65,Non-binary,Government,36.7,92.3,0,1,Phone,0
D00111,Samuel Rogers,Individual,Hobart,TAS,donor111@email.com,0417003454,2022-03-31,Social Media,46-55,Prefer not to say,Retired,17.8,19.0,0,0,Mail,0
D00112,Roberts Pty Ltd,Corporate,Sydney,NSW,donor112@email.com,0478901038,2022-02-20,Direct Mail,N/A,N/A,N/A,61.7,73.1,0,0,Any,0
D00113,Reed Foundation,Foundation,Gold Coast,QLD,donor113@email.com,0460192261,2020-01-28,Direct Mail,N/A,N/A,N/A,32.7,62.8,0,0,Email,0
D00114,Lucas Cooper,Individual,Melbourne,VIC,donor114@email.com,0428628439,2020-10-20,Online,65+,Non-binary,Retired,69.6,36.0,0,1,Any,0
D00115,Melbourne City Council,Government,Melbourne,VIC,donor115@email.com,0491722503,2020-08-08,Online,N/A,N/A,N/A,62.8,22.8,0,0,Email,0
D00116,Oliver Martin,Individual,Gold Coast,QLD,donor116@email.com,0479172559,2021-05-26,Online,46-55,Prefer not to say,Business Owner,47.0,47.4,0,0,Phone,0
D00117,Sebastian Evans,Individual,Melbourne,VIC,donor117@email.com,0478092370,2021-01-04,Recurring,46-55,Female,Business Owner,72.3,62.6,0,1,Email,0
D00118,Nora Nguyen,Individual,Darwin,NT,donor118@email.com,0423913528,2020-12-19,Social Media,36-45,Male,Technology,51.6,86.5,0,1,Mail,0
D00119,Alexander Cooper,Individual,Adelaide,SA,donor119@email.com,0471428713,2022-04-10,Recurring,65+,Prefer not to say,Government,71.0,79.7,0,0,Phone,0
D00120,Brisbane City Council,Government,Brisbane,QLD,donor120@email.com,0482884346,2020-11-13,Direct Mail,N/A,N/A,N/A,1.0,42.7,0,0,Email,0
D00121,Oliver Bailey,Individual,Brisbane,QLD,donor121@email.com,0469020451,2021-01-11,Online,65+,Non-binary,Education,31.3,59.8,0,1,Any,0
D00122,Ellie Nguyen,Individual,Wollongong,NSW,donor122@email.com,0434220459,2020-03-21,Telephone,56-65,Non-binary,Business Owner,1.0,84.4,0,0,Mail,0
D00123,King Services,Corporate,Fremantle,WA,donor123@email.com,0470012727,2021-03-12,Recurring,N/A,N/A,N/A,60.8,73.5,0,0,Mail,0
D00124,Ava Jones,Individual,Canberra,ACT,donor124@email.com,0429163535,2022-02-06,Recurring,65+,Prefer not to say,Technology,28.8,1.0,0,1,Any,0
D00125,Luke Nguyen,Individual,Ballarat,VIC,donor125@email.com,0420319387,2021-04-05,Online,46-55,Male,Other,68.3,42.4,0,0,Mail,0
D00126,Mason Johnson,Individual,Cairns,QLD,donor126@email.com,0469897763,2021-07-29,Recurring,65+,Female,Government,75.5,79.1,0,0,Mail,0
D00127,Harper Peterson,Individual,Darwin,NT,donor127@email.com,0452894344,2021-03-31,Email,18-25,Prefer not to say,Retired,86.5,49.2,1,1,Email,0
D00128,Perth City Council,Government,Perth,WA,donor128@email.com,0433366099,2021-12-29,Social Media,N/A,N/A,N/A,42.2,12.4,0,1,Phone,0
D00129,Martin Services,Corporate,Brisbane,QLD,donor129@email.com,0484040798,2021-07-21,Online,N/A,N/A,N/A,29.8,37.7,0,0,Email,0
D00130,Aubrey Roberts Estate,Bequest,Mount Gambier,SA,donor130@email.com,0452550733,2021-02-23,Event,N/A,N/A,N/A,53.5,41.2,0,0,Any,0
D00131,Emily Rogers,Individual,Adelaide,SA,donor131@email.com,0450818905,2020-02-26,Email,26-35,Prefer not to say,Arts,61.8,23.7,0,0,Mail,1
D00132,Lincoln Kelly,Individual,Gold Coast,QLD,donor132@email.com,0492467167,2021-07-18,Online,36-45,Male,Education,45.7,84.6,0,0,Phone,0
D00133,Riley Cooper,Individual,Newcastle,NSW,donor133@email.com,0438294221,2021-10-18,Online,56-65,Male,Professional,52.1,30.6,0,1,Any,0
D00134,Zoe Allen,Individual,Melbourne,VIC,donor134@email.com,0419794273,2022-04-06,Online,65+,Non-binary,Government,43.3,30.7,0,1,Phone,0
D00135,Riley Diaz,Individual,Darwin,NT,donor135@email.com,0459733063,2022-05-31,Telephone,26-35,Non-binary,Technology,38.6,70.8,0,0,Email,0
D00136,Lillian Martin,Individual,Hobart,TAS,donor136@email.com,0431434525,2021-01-28,Direct Mail,26-35,Male,Professional,63.7,30.4,0,1,Mail,0
D00137,Stella Baker,Individual,Wollongong,NSW,donor137@email.com,0438876195,2021-02-06,Online,46-55,Non-binary,Government,1.0,47.8,0,0,Email,0
D00138,Christopher Allen,Individual,Darwin,NT,donor138@email.com,0464123845,2022-06-22,Corporate,56-65,Male,Business Owner,48.3,73.8,0,0,Any,0
D00139,Samuel Jones,Individual,Brisbane,QLD,donor139@email.com,0422976369,2021-09-30,Direct Mail,46-55,Prefer not to say,Arts,45.7,38.6,0,0,Mail,0
D00140,Jackson Solutions,Corporate,Adelaide,SA,donor140@email.com,0454699966,2021-05-27,Corporate,N/A,N/A,N/A,55.5,51.8,0,1,Any,0
D00141,Joseph Anderson,Individual,Newcastle,NSW,donor141@email.com,0485554415,2022-04-28,Direct Mail,46-55,Non-binary,Other,26.8,48.2,0,0,Email,0
D00142,Victoria Gutierrez Estate,Bequest,Sydney,NSW,donor142@email.com,0473698420,2022-06-12,Email,N/A,N/A,N/A,48.2,44.6,0,0,Phone,0
D00143,Gabriel Taylor,Individual,Darwin,NT,donor143@email.com,0452103092,2021-12-18,Recurring,65+,Female,Professional,53.0,53.1,0,0,Any,0
D00144,Christopher Bailey,Individual,Canberra,ACT,donor144@email.com,0480528349,2021-07-28,Recurring,65+,Male,Retired,36.6,82.8,0,0,Phone,0
D00145,Scarlett Parker,Individual,Fremantle,WA,donor145@email.com,0449945150,2020-11-01,Direct Mail,46-55,Female,Healthcare,58.4,100.0,0,1,Phone,0
D00146,Dylan Phillips,Individual,Darwin,NT,donor146@email.com,0462953249,2021-11-23,Online,65+,Non-binary,Education,9.0,35.7,0,1,Phone,0
D00147,Ethan Torres Estate,Bequest,Perth,WA,donor147@email.com,0437121108,2021-11-02,Email,N/A,N/A,N/A,49.1,78.5,0,1,Mail,1
D00148,Sebastian Martin,Individual,Cairns,QLD,donor148@email.com,0428450513,2021-02-27,Online,18-25,Female,Healthcare,39.1,74.7,0,0,Phone,0
D00149,Elizabeth Cook,Individual,Darwin,NT,donor149@email.com,0481826922,2022-02-26,Recurring,36-45,Non-binary,Education,72.1,67.4,0,1,Email,0
D00150,Alexander Ramos,Individual,Wollongong,NSW,donor150@email.com,0415028625,2022-02-05,Online,18-25,Prefer not to say,Government,94.4,36.6,1,0,Email,1
D00151,Zoe Roberts,Individual,Fremantle,WA,donor151@email.com,0471594457,2020-07-16,Corporate,46-55,Female,Arts,56.5,29.1,0,0,Phone,0
D00152,Evans Enterprises,Corporate,Fremantle,WA,donor152@email.com,0464423996,2020-06-28,Telephone,N/A,N/A,N/A,28.1,27.1,0,1,Mail,0
D00153,Harper Rivera,Individual,Sydney,NSW,donor153@email.com,0454241559,2020-08-29,Direct Mail,36-45,Female,Professional,35.1,56.5,0,0,Email,0
D00154,Brown Enterprises,Corporate,Adelaide,SA,donor154@email.com,0451738753,2020-11-10,Online,N/A,N/A,N/A,66.4,82.1,0,1,Mail,0
D00155,Harper Rivera,Individual,Gold Coast,QLD,donor155@email.com,0482144402,2021-12-19,Event,26-35,Prefer not to say,Other,28.5,41.4,0,1,Phone,0
D00156,Natalie Morris,Individual,Ballarat,VIC,donor156@email.com,0486866717,2022-04-28,Online,36-45,Male,Other,27.3,41.2,0,0,Phone,0
D00157,Henry Morris,Individual,Hobart,TAS,donor157@email.com,0478886959,2021-04-01,Email,56-65,Prefer not to say,Business Owner,57.9,24.4,0,0,Email,0
D00158,Flores Holdings,Corporate,Perth,WA,donor158@email.com,0466867700,2022-02-02,Social Media,N/A,N/A,N/A,51.6,59.5,0,0,Email,0
D00159,William Ramos Estate,Bequest,Geelong,VIC,donor159@email.com,0496104027,2020-10-20,Corporate,N/A,N/A,N/A,21.2,73.2,0,1,Any,0
D00160,Gabriel Hill,Individual,Mount Gambier,SA,donor160@email.com,0439888974,2021-07-04,Online,18-25,Female,Technology,41.8,58.1,0,1,Email,1
D00161,Gomez Services,Corporate,Hobart,TAS,donor161@email.com,0430820038,2022-04-23,Recurring,N/A,N/A,N/A,52.8,77.6,0,0,Email,0
D00162,Noah Martin,Individual,Canberra,ACT,donor162@email.com,0416533225,2021-04-02,Recurring,26-35,Male,Business Owner,24.5,27.5,0,0,Email,0
D00163,Ava Wilson,Individual,Gold Coast,QLD,donor163@email.com,0453038943,2022-01-19,Social Media,56-65,Non-binary,Healthcare,26.7,34.9,0,0,Phone,1
D00164,Grace Brown,Individual,Gold Coast,QLD,donor164@email.com,0461157708,2020-02-18,Recurring,56-65,Female,Finance,96.9,39.7,1,1,Mail,0
D00165,Gabriel Thomas,Individual,Canberra,ACT,donor165@email.com,0472146184,2020-11-03,Social Media,56-65,Prefer not to say,Healthcare,57.0,39.1,0,1,Any,1
D00166,Aiden White,Individual,Newcastle,NSW,donor166@email.com,0416917129,2020-04-04,Social Media,36-45,Male,Government,13.3,39.6,0,0,Email,0
D00167,Turner Foundation,Foundation,Brisbane,QLD,donor167@email.com,0454689713,2021-07-26,Telephone,N/A,N/A,N/A,52.8,66.7,0,0,Email,0
D00168,Amelia Murphy Estate,Bequest,Brisbane,QLD,donor168@email.com,0437449289,2021-05-05,Peer-to-Peer,N/A,N/A,N/A,76.5,30.3,0,0,Phone,0
D00169,Ryan Edwards,Individual,Perth,WA,donor169@email.com,0473013937,2022-06-22,Event,36-45,Non-binary,Education,40.9,50.2,0,1,Mail,0
D00170,Sophia Evans,Individual,Adelaide,SA,donor170@email.com,0430456313,2021-08-21,Direct Mail,26-35,Female,Professional,31.7,37.6,0,0,Phone,0
D00171,Riley Thompson,Individual,Gold Coast,QLD,donor171@email.com,0483356206,2022-03-25,Online,46-55,Prefer not to say,Government,43.4,61.0,0,0,Email,0
